Month,MaxT,Rainfall,Min T
2020 Jan,36.258064516129025,0,18.019354838709674
Feb,35.624453694068684,0,23.783879277951186
Mar,34.877419354838715,60.19999999999999,26.09067775125257
Apr,34.515400624349645,57.99999999999997,23.19324766939524
May,32.61612903225806,145.73099999999974,22.967741935483875
Jun,30.677939646201867,151.88299999999992,22.311862643080126
Jul,28.43548387096774,153.73399999999992,22.138709677419353
Aug,28.749462365591352,20.334999999999997,21.306451612903185
Sep,29.11557405480399,190.6339999999999,21.903433922996854
Oct,30.87741935483867,307.8029999999997,22.023655913978462
Nov,34.425078043704445,3.828,22.002913631633685
Dec,35.05268817204297,5.2909999999999995,22.059139784946204
2021 Jan,35.56129032258061,0,21.174193548387063
.Feb,36.43961151578213,0,21.999167533818895
.Mar,34.64946236559135,54.34199999999999,23.407526881720393
.Apr,34.25750953867495,51.126,23.047554630593098
